Distribuidor;Ceco;Tipo de precio;Precio;Marca;Referencia;Categoria;Descripcion;Garantia;Ventajas competitivas;Otros productos;URL;
Cosostenible;ENERGIA SOLAR;Precio comercial;$151.681;Belttt;INVERSOR ONDA MODIFICADA  1000W12V;Inversor onda modificada;;;#N/A;#N/A;https://drive.google.com/file/d/19hc-tOoCQuR15ycNRxfs2gh0-15WVvnE/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$151.681;Belttt;INVERSOR ONDA MODIFICADA 1000W24V;Inversor onda modificada;;;#N/A;#N/A;https://drive.google.com/file/d/19hc-tOoCQuR15ycNRxfs2gh0-15WVvnE/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$49.000;Belttt;INVERSOR ONDA MODIFICADA 200W12V;Inversor onda modificada;;;#N/A;#N/A;https://drive.google.com/file/d/19hc-tOoCQuR15ycNRxfs2gh0-15WVvnE/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$65.000;Belttt;INVERSOR ONDA MODIFICADA 300W12V;Inversor onda modificada;;;#N/A;#N/A;https://drive.google.com/file/d/19hc-tOoCQuR15ycNRxfs2gh0-15WVvnE/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$92.000;Belttt;INVERSOR ONDA MODIFICADA 500W12V;Inversor onda modificada;;;#N/A;#N/A;https://drive.google.com/file/d/19hc-tOoCQuR15ycNRxfs2gh0-15WVvnE/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$123.000;Belttt;INVERSOR ONDA MODIFICADA 800W12V;Inversor onda modificada;;;#N/A;#N/A;https://drive.google.com/file/d/19hc-tOoCQuR15ycNRxfs2gh0-15WVvnE/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$214.782;Bem;INVERSOR BEM ONDA MODIFICADA 1000W12V;Inversor onda modificada;;;#N/A;#N/A;https://drive.google.com/file/d/19gHVoEkxbNGMz6Z73dQJKTb85Sls8ASu/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$214.782;Bem;INVERSOR BEM ONDA MODIFICADA 1000W24V;Inversor onda modificada;;;#N/A;#N/A;https://drive.google.com/file/d/19gHVoEkxbNGMz6Z73dQJKTb85Sls8ASu/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$310.000;Bem;INVERSOR BEM ONDA MODIFICADA 1500W12V;Inversor onda modificada;;;#N/A;#N/A;https://drive.google.com/file/d/19gHVoEkxbNGMz6Z73dQJKTb85Sls8ASu/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$310.000;Bem;INVERSOR BEM ONDA MODIFICADA 1500W24V;Inversor onda modificada;;;#N/A;#N/A;https://drive.google.com/file/d/19gHVoEkxbNGMz6Z73dQJKTb85Sls8ASu/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$557.800;Belttt;INVERSOR ONDA PURA 1000W12V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19WPRNsvly69Fgi2lo72_CB64Cjrp2QTz/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$567.000;Belttt;INVERSOR ONDA PURA 1000W24V CON DISPLAY;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19WPRNsvly69Fgi2lo72_CB64Cjrp2QTz/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$752.425;Belttt;INVERSOR ONDA PURA 1500W12V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19WPRNsvly69Fgi2lo72_CB64Cjrp2QTz/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$592.930;Belttt;INVERSOR ONDA PURA 1500W24V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19WPRNsvly69Fgi2lo72_CB64Cjrp2QTz/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$989.000;Belttt;INVERSOR ONDA PURA 2000W12V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19WPRNsvly69Fgi2lo72_CB64Cjrp2QTz/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$989.000;Belttt;INVERSOR ONDA PURA 2000W24V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19WPRNsvly69Fgi2lo72_CB64Cjrp2QTz/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$997.851;Belttt;INVERSOR ONDA PURA 3000W12V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19WPRNsvly69Fgi2lo72_CB64Cjrp2QTz/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$997.851;Belttt;INVERSOR ONDA PURA 3000W24V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19WPRNsvly69Fgi2lo72_CB64Cjrp2QTz/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$343.636;Belttt;INVERSOR ONDA PURA 600W12V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19WPRNsvly69Fgi2lo72_CB64Cjrp2QTz/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$343.636;Belttt;INVERSOR ONDA PURA 600W24V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19WPRNsvly69Fgi2lo72_CB64Cjrp2QTz/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$348.400;Belttt;INVERSOR ONDA PURA GREEN BAP 1000W 12V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19sBDuKKf6KFIQhD9eDP5xdVSgRTB4PAl/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$348.400;Belttt;INVERSOR ONDA PURA GREEN  BAP 1000W 24V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19sBDuKKf6KFIQhD9eDP5xdVSgRTB4PAl/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$422.208;Belttt;INVERSOR ONDA PURA GREEN BAP 1500W 12V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19sBDuKKf6KFIQhD9eDP5xdVSgRTB4PAl/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$422.208;Belttt;INVERSOR ONDA PURA GREEN BAP 1500W 24V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19sBDuKKf6KFIQhD9eDP5xdVSgRTB4PAl/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$539.200;Belttt;INVERSOR ONDA PURA GREEN BAP 2000W 12V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19sBDuKKf6KFIQhD9eDP5xdVSgRTB4PAl/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$539.200;Belttt;INVERSOR ONDA PURA GREEN BAP 2000W 24V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19sBDuKKf6KFIQhD9eDP5xdVSgRTB4PAl/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$682.450;Belttt;INVERSOR ONDA PURA GREEN BAP 3000W 12V;Inversor onda Pura;;;#N/A;#N/A;https://drive.google.com/file/d/19sBDuKKf6KFIQhD9eDP5xdVSgRTB4PAl/view?usp=sharing;
